product_id,product_name,category,unit_weight_kg,unit_price,supplier_id
PRD00001,Future-proofed background toolset,Automotive,47.62,1031.26,SUP0044
PRD00002,Reactive homogeneous orchestration,Apparel,6.87,1501.44,SUP0027
PRD00003,Multi-tiered grid-enabled installation,Electronics,49.63,1734.76,SUP0009
PRD00004,Self-enabling asynchronous data-warehouse,Grocery,12.56,1424.23,SUP0016
PRD00005,Advanced next generation matrices,Toys,24.52,1156.96,SUP0018
PRD00006,Optimized bandwidth-monitored service-desk,Toys,18.82,155.65,SUP0006
PRD00007,Synergized client-server throughput,Toys,25.83,560.06,SUP0024
PRD00008,Ergonomic multi-tasking functionalities,Industrial,47.52,657.94,SUP0001
PRD00009,Re-engineered global system engine,Apparel,36.57,919.61,SUP0043
PRD00010,Decentralized eco-centric core,Pharma,42.52,1592.38,SUP0026
PRD00011,Vision-oriented encompassing initiative,Furniture,48.41,1650.57,SUP0032
PRD00012,Quality-focused coherent encoding,Automotive,16.21,570.77,SUP0036
PRD00013,Reverse-engineered zero administration function,Grocery,28.35,973.25,SUP0022
PRD00014,Profound encompassing product,Electronics,2.39,1254.23,SUP0030
PRD00015,Balanced 4thgeneration concept,Electronics,6.3,1716.01,SUP0029
PRD00016,Polarized web-enabled definition,Industrial,0.13,1916.27,SUP0013
PRD00017,Adaptive 24hour secured line,Grocery,44.12,607.22,SUP0018
PRD00018,Profound intermediate policy,Apparel,32.76,504.53,SUP0024
PRD00019,Object-based human-resource architecture,Grocery,2.68,1253.08,SUP0045
PRD00020,Centralized bifurcated task-force,Furniture,21.52,186.94,SUP0007
PRD00021,Networked motivating customer loyalty,Electronics,10.75,160.49,SUP0038
PRD00022,Compatible attitude-oriented secured line,Furniture,26.02,892.91,SUP0001
PRD00023,Ergonomic reciprocal groupware,Pharma,40.87,1976.37,SUP0028
PRD00024,Assimilated actuating architecture,Grocery,23.94,461.75,SUP0006
PRD00025,Multi-tiered multi-tasking approach,Apparel,5.25,738.29,SUP0020
PRD00026,Seamless secondary focus group,Grocery,19.2,1627.67,SUP0009
PRD00027,Configurable explicit product,Grocery,3.51,1128.77,SUP0040
PRD00028,Robust asynchronous support,Grocery,22.06,1446.25,SUP0041
PRD00029,Inverse actuating knowledgebase,Grocery,46.0,1234.07,SUP0029
PRD00030,Open-source zero-defect conglomeration,Furniture,4.43,205.43,SUP0008
PRD00031,Self-enabling multi-state customer loyalty,Toys,17.64,861.63,SUP0009
PRD00032,Reduced leadingedge project,Furniture,13.92,173.08,SUP0036
PRD00033,Open-source responsive circuit,Automotive,38.97,1382.5,SUP0043
